1: 1645.304199, 1645.304199 avg, 0.000000 rate, 10.042507 seconds, 64 images
2: 1642.311890, 1645.005005 avg, 0.000000 rate, 9.831839 seconds, 128 images
3: 1644.550293, 1644.959473 avg, 0.000000 rate, 9.824191 seconds, 192 images
4: 1650.826172, 1645.546143 avg, 0.000000 rate, 9.892212 seconds, 256 images
5: 1648.148682, 1645.806396 avg, 0.000000 rate, 9.871694 seconds, 320 images
6: 1644.464600, 1645.672241 avg, 0.000000 rate, 9.880011 seconds, 384 images
7: 1646.560303, 1645.760986 avg, 0.000000 rate, 9.905071 seconds, 448 images
8: 1644.319458, 1645.616821 avg, 0.000000 rate, 9.890694 seconds, 512 images
9: 1647.277954, 1645.782959 avg, 0.000000 rate, 9.931551 seconds, 576 images
10: 1646.938354, 1645.898438 avg, 0.000000 rate, 9.949187 seconds, 640 images
11: 1458.754272, 1627.184082 avg, 0.000000 rate, 8.329226 seconds, 704 images
12: 1458.253418, 1610.291016 avg, 0.000000 rate, 8.403439 seconds, 768 images
13: 1461.968262, 1595.458740 avg, 0.000000 rate, 8.365995 seconds, 832 images
14: 1458.203979, 1581.733276 avg, 0.000000 rate, 8.384352 seconds, 896 images
15: 1455.514526, 1569.111450 avg, 0.000000 rate, 8.527401 seconds, 960 images
16: 1459.441895, 1558.144531 avg, 0.000000 rate, 8.488586 seconds, 1024 images
17: 1454.278198, 1547.757935 avg, 0.000000 rate, 8.456836 seconds, 1088 images
18: 1451.747070, 1538.156860 avg, 0.000000 rate, 8.477196 seconds, 1152 images
19: 1453.080444, 1529.649170 avg, 0.000000 rate, 8.416958 seconds, 1216 images
20: 1448.912598, 1521.575562 avg, 0.000000 rate, 8.388623 seconds, 1280 images
21: 1106.808228, 1480.098877 avg, 0.000000 rate, 6.823707 seconds, 1344 images
22: 1107.934937, 1442.882446 avg, 0.000000 rate, 6.908207 seconds, 1408 images
23: 1102.422607, 1408.836426 avg, 0.000000 rate, 6.953325 seconds, 1472 images
24: 1099.167236, 1377.869507 avg, 0.000000 rate, 6.946943 seconds, 1536 images
25: 1091.810059, 1349.263550 avg, 0.000000 rate, 6.895510 seconds, 1600 images
26: 1085.268555, 1322.864014 avg, 0.000000 rate, 6.840492 seconds, 1664 images
27: 1078.730347, 1298.450684 avg, 0.000000 rate, 6.816666 seconds, 1728 images
28: 1071.443848, 1275.750000 avg, 0.000000 rate, 6.986712 seconds, 1792 images
29: 1068.916016, 1255.066650 avg, 0.000000 rate, 6.843226 seconds, 1856 images
30: 1052.430054, 1234.802979 avg, 0.000000 rate, 6.858255 seconds, 1920 images
31: 649.471680, 1176.269897 avg, 0.000000 rate, 4.419118 seconds, 1984 images
32: 638.525574, 1122.495483 avg, 0.000000 rate, 4.488992 seconds, 2048 images
33: 635.318665, 1073.777832 avg, 0.000000 rate, 4.462427 seconds, 2112 images
34: 628.030640, 1029.203125 avg, 0.000000 rate, 4.463730 seconds, 2176 images
35: 613.692688, 987.652100 avg, 0.000000 rate, 4.458002 seconds, 2240 images
36: 603.283447, 949.215210 avg, 0.000000 rate, 4.454102 seconds, 2304 images
37: 595.457825, 913.839478 avg, 0.000000 rate, 4.495539 seconds, 2368 images
38: 581.525452, 880.608093 avg, 0.000000 rate, 4.467058 seconds, 2432 images
39: 567.593872, 849.306702 avg, 0.000000 rate, 4.457452 seconds, 2496 images
40: 558.890625, 820.265076 avg, 0.000000 rate, 4.465436 seconds, 2560 images
41: 1282.684814, 866.507080 avg, 0.000000 rate, 9.803012 seconds, 2624 images
42: 1243.923462, 904.248718 avg, 0.000000 rate, 9.981356 seconds, 2688 images
43: 1205.241211, 934.347961 avg, 0.000000 rate, 9.950527 seconds, 2752 images
44: 1157.420166, 956.655151 avg, 0.000000 rate, 9.929468 seconds, 2816 images
45: 1096.615479, 970.651184 avg, 0.000000 rate, 9.934051 seconds, 2880 images
46: 1037.697266, 977.355774 avg, 0.000000 rate, 9.975154 seconds, 2944 images
47: 977.530151, 977.373230 avg, 0.000000 rate, 9.950906 seconds, 3008 images
48: 914.336731, 971.069580 avg, 0.000000 rate, 9.975231 seconds, 3072 images
49: 845.588928, 958.521484 avg, 0.000000 rate, 9.952949 seconds, 3136 images
50: 775.921997, 940.261536 avg, 0.000000 rate, 9.997835 seconds, 3200 images
51: 704.199341, 916.655334 avg, 0.000000 rate, 9.802019 seconds, 3264 images
52: 635.091309, 888.498901 avg, 0.000000 rate, 9.992435 seconds, 3328 images
53: 571.944702, 856.843506 avg, 0.000000 rate, 9.984468 seconds, 3392 images
54: 502.335602, 821.392700 avg, 0.000000 rate, 10.033835 seconds, 3456 images
55: 445.077179, 783.761169 avg, 0.000000 rate, 10.045031 seconds, 3520 images
56: 388.359772, 744.221008 avg, 0.000000 rate, 10.071237 seconds, 3584 images
57: 333.336243, 703.132507 avg, 0.000000 rate, 10.149434 seconds, 3648 images
58: 290.213989, 661.840637 avg, 0.000000 rate, 10.092742 seconds, 3712 images
59: 248.384613, 620.495056 avg, 0.000000 rate, 9.998293 seconds, 3776 images
60: 214.074097, 579.852966 avg, 0.000001 rate, 10.072879 seconds, 3840 images
61: 80.102600, 529.877930 avg, 0.000001 rate, 4.512346 seconds, 3904 images
62: 71.477104, 484.037842 avg, 0.000001 rate, 4.521428 seconds, 3968 images
63: 60.249794, 441.659027 avg, 0.000001 rate, 4.537390 seconds, 4032 images
64: 51.661003, 402.659210 avg, 0.000001 rate, 4.495937 seconds, 4096 images
65: 46.731689, 367.066467 avg, 0.000001 rate, 4.545871 seconds, 4160 images
66: 40.803211, 334.440155 avg, 0.000001 rate, 4.536610 seconds, 4224 images
67: 37.663963, 304.762543 avg, 0.000001 rate, 4.502610 seconds, 4288 images
68: 36.198921, 277.906189 avg, 0.000001 rate, 4.551439 seconds, 4352 images
69: 30.224686, 253.138031 avg, 0.000001 rate, 4.476449 seconds, 4416 images
70: 27.973528, 230.621582 avg, 0.000001 rate, 4.525490 seconds, 4480 images
71: 52.249466, 212.784363 avg, 0.000001 rate, 10.856193 seconds, 4544 images
72: 42.944691, 195.800400 avg, 0.000001 rate, 11.042326 seconds, 4608 images
73: 38.964966, 180.116852 avg, 0.000001 rate, 11.103645 seconds, 4672 images
74: 39.386826, 166.043854 avg, 0.000001 rate, 10.985224 seconds, 4736 images
75: 31.976450, 152.637115 avg, 0.000001 rate, 11.075008 seconds, 4800 images
76: 28.559153, 140.229324 avg, 0.000001 rate, 11.235015 seconds, 4864 images
77: 23.218826, 128.528275 avg, 0.000001 rate, 11.050659 seconds, 4928 images
78: 21.759808, 117.851425 avg, 0.000001 rate, 11.026941 seconds, 4992 images
79: 21.012770, 108.167557 avg, 0.000002 rate, 10.898282 seconds, 5056 images
80: 19.087061, 99.259506 avg, 0.000002 rate, 10.894889 seconds, 5120 images
81: 19.258167, 91.259369 avg, 0.000002 rate, 11.914844 seconds, 5184 images
82: 16.190935, 83.752525 avg, 0.000002 rate, 12.123938 seconds, 5248 images
83: 13.360729, 76.713348 avg, 0.000002 rate, 12.196693 seconds, 5312 images
84: 12.595422, 70.301559 avg, 0.000002 rate, 12.327721 seconds, 5376 images
85: 12.829642, 64.554367 avg, 0.000002 rate, 12.185581 seconds, 5440 images
86: 11.340354, 59.232967 avg, 0.000002 rate, 12.179480 seconds, 5504 images
87: 11.042439, 54.413914 avg, 0.000002 rate, 12.173162 seconds, 5568 images
88: 13.320194, 50.304543 avg, 0.000002 rate, 12.225555 seconds, 5632 images
89: 11.501121, 46.424202 avg, 0.000002 rate, 12.206584 seconds, 5696 images
90: 8.946590, 42.676441 avg, 0.000003 rate, 12.294471 seconds, 5760 images
91: 9.720353, 39.380833 avg, 0.000003 rate, 4.609340 seconds, 5824 images
92: 9.623693, 36.405117 avg, 0.000003 rate, 4.663383 seconds, 5888 images
93: 13.396266, 34.104233 avg, 0.000003 rate, 4.739984 seconds, 5952 images
94: 8.620914, 31.555901 avg, 0.000003 rate, 4.681773 seconds, 6016 images
95: 10.507163, 29.451027 avg, 0.000003 rate, 4.551095 seconds, 6080 images
96: 9.897974, 27.495722 avg, 0.000003 rate, 4.559948 seconds, 6144 images
97: 10.116461, 25.757795 avg, 0.000003 rate, 4.556225 seconds, 6208 images
98: 7.958780, 23.977894 avg, 0.000004 rate, 4.456164 seconds, 6272 images
99: 11.990225, 22.779127 avg, 0.000004 rate, 4.461633 seconds, 6336 images
